1	14.9721	3.33108	5.10251	0.559472	1.33059	lidar	1	15.0261	3.5067	14.9085	4.97695	15.0122	3.38932	4.23744	2.68703	14.8298	4.06229	4.94327	0.60767	0.367144
1	15.3882	3.65459	5.10778	0.595988	1.23629	lidar	1	15.5236	3.82936	15.3956	5.31508	15.4306	3.66572	4.12575	2.83789	15.2599	4.39755	4.97768	0.654527	0.374777
1	15.8312	3.92349	5.1103	0.569997	1.14434	lidar	1	15.9774	4.00094	15.8439	5.50083	15.8375	3.95719	4.00571	2.98817	15.6971	4.7006	5.00422	0.681216	0.364958
1	16.2297	4.26949	5.1171	0.624007	1.10473	lidar	1	16.3313	4.44499	16.1836	5.95578	16.2319	4.26363	3.87716	3.13723	16.102	5.05587	5.02979	0.723809	0.369197
1	16.6182	4.60879	5.11878	0.668982	1.10858	lidar	1	16.6039	4.67344	16.4489	6.19267	16.613	4.5849	3.74	3.28438	16.4807	5.40106	5.03653	0.760723	0.36894
1	16.9419	5.04658	5.13078	0.817123	1.0061	lidar	1	16.9955	5.21099	16.8234	6.74226	16.9799	4.92077	3.59416	3.42897	16.8365	5.80335	5.05555	0.811927	0.380221
1	17.2929	5.42691	5.13227	0.841521	0.85328	lidar	1	17.2894	5.43542	17.1102	6.97581	17.3319	5.27094	3.4396	3.57028	17.1798	6.18161	5.05917	0.850752	0.38074
1	17.7491	5.6968	5.12623	0.708919	0.82073	lidar	1	17.7853	5.62476	17.5998	7.18063	17.6679	5.63506	3.27637	3.70762	17.5581	6.51582	5.0613	0.863402	0.358983
1	18.1029	6.07812	5.13271	0.753397	0.771325	lidar	1	18.1263	6.16985	17.9235	7.73616	17.9872	6.01269	3.10453	3.84027	17.9073	6.90496	5.07397	0.892619	0.352646
1	18.3261	6.57068	5.13366	0.953406	1.0029	lidar	1	18.2164	6.66138	17.9982	8.23028	18.2888	6.40332	2.92421	3.96753	18.1838	7.34446	5.07696	0.945844	0.367943
